建筑年代,物业费（元/平米）,物业类型,总价（万元）,均价（元/平米）,建筑面积,结构,住宅类别,产权性质,建筑类别,户型
2004.0,1.45,住宅,578.0,59587.62886597938,97.0,平层,普通住宅,个人产权,钢混,2室2厅1厨1卫
2003.0,1.5,住宅,750.0,56986.55117392295,131.61,平层,,商品房,板楼,2室2厅1厨2卫
1987.0,0.3,住宅,235.0,53409.09090909091,44.0,平层,,商品房,板楼,2室1厅1厨1卫
2010.0,0.8,住宅,98.0,9333.333333333334,105.0,平层,普通住宅,个人产权,板楼,3室2厅1厨2卫
1900.0,7.7,住宅,2500.0,133775.68493150684,186.88,,普通住宅,个人产权,,3室2厅0厨2卫
2017.0,2.1,住宅,80.0,16673.614005835767,47.98,平层,普通住宅,商品房,塔楼,1室2厅1厨1卫
2015.0,5.0,住宅,60.0,15789.473684210527,38.0,平层,,商品房,板楼,1室1厅1厨1卫
2012.0,2.28,住宅,450.0,44950.554390170815,100.11,复式,普通住宅,个人产权,板楼,3室2厅1厨2卫
2013.0,1.75,住宅,310.0,35632.183908045976,87.0,平层,普通住宅,商品房,塔板结合,2室2厅1厨1卫
2006.0,0.7,住宅,210.0,23779.866379798437,88.31,平层,普通住宅,个人产权,板楼,2室2厅1厨1卫
2014.0,2.9,住宅,230.0,30263.157894736843,76.0,平层,普通住宅,个人产权,板楼,2室2厅1厨1卫
1985.0,0.0,住宅,83.0,23714.285714285714,35.0,平层,普通住宅,个人产权,钢混,2室1厅1厨1卫
1997.0,1.5,住宅,395.0,58727.326791555155,67.26,,普通住宅,个人产权,,1室1厅1厨1卫
1995.0,0.3,住宅,248.0,37125.748502994014,66.8,平层,普通住宅,商品房,板楼,2室1厅1厨1卫
2011.0,2.1,住宅,260.0,29138.182225708842,89.23,平层,普通住宅,个人产权,板楼,2室2厅1厨1卫
2012.0,2.27,住宅,355.0,43292.68292682927,82.0,,普通住宅,个人产权,,2室2厅1厨1卫
1995.0,0.8,住宅,506.0,80317.46031746031,63.0,平层,普通住宅,商品房,塔楼,2室1厅1厨1卫
2000.0,0.35,住宅,265.0,50961.53846153846,52.0,平层,普通住宅,个人产权,钢混,1室1厅1厨1卫
2002.0,1.8,住宅,680.0,73434.12526997841,92.6,,普通住宅,个人产权,,2室2厅1厨1卫
2005.0,1.74,住宅,1200.0,40816.32653061225,294.0,平层,普通住宅,个人产权,板楼,4室3厅1厨2卫
2014.0,1.2,住宅,85.0,17000.0,50.0,,普通住宅,个人产权,,1室1厅1厨1卫
,4.8,别墅,1600.0,43010.75268817204,372.0,,,,,5室3厅1厨3卫
1996.0,0.56,住宅,200.0,47619.04761904762,42.0,平层,,商品房,板楼,1室1厅1厨1卫
1995.0,0.54,住宅,360.0,56250.0,64.0,平层,普通住宅,商品房,塔楼,2室1厅1厨1卫
2015.0,1.45,住宅,232.0,27619.04761904762,84.0,平层,普通住宅,个人产权,板楼,3室2厅1厨1卫
,5.95,别墅,2780.0,49820.78853046595,558.0,,,,,6室3厅1厨5卫
2002.0,1.8,住宅,610.0,49193.54838709677,124.0,平层,普通住宅,商品房,板楼,2室2厅1厨2卫
2007.0,1.8,住宅,680.0,88311.68831168831,77.0,平层,普通住宅,商品房,板楼,2室2厅1厨1卫
2007.0,1.8,住宅,645.0,83766.23376623377,77.0,平层,普通住宅,商品房,塔楼,2室2厅1厨1卫
2010.0,0.6,住宅,400.0,51948.05194805195,77.0,平层,普通住宅,商品房,塔楼,2室1厅1厨1卫
2004.0,0.45,住宅,400.0,49677.09885742673,80.52,平层,普通住宅,商品房,板楼,2室2厅1厨1卫
1995.0,0.25,住宅,400.0,49382.71604938272,81.0,平层,普通住宅,商品房,板楼,2室2厅1厨1卫
