,地区,种类,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年
60,山西省,果园面积,,,,,,,,,,,281.16,294.38,322.57,342.36,348.34,348.3,362.76,355.82,359.53,
61,山西省,水果产量,279.7,204.49,275.27,334.6,328.8,342.86,314.45,353.75,342.23,410.64,449.2,474.86,617.86,677.33,711.84,770.77,842.57,840.77,844.02,
62,山西省,苹果产量,174.83,162.96,155.16,172.42,180.18,202.14,164.84,186.7,187.27,222.88,238.48,256.65,333.94,375.24,396.22,417.25,431.21,428.62,444.94,
63,山西省,苹果园面积,187.72,177.98,164.74,158.42,154.08,152.67,151.4,145.97,144.31,148.21,145.23,137.64,144.73,150.69,154.1,154.1,155.5,150.3,,
64,山西省,葡萄园面积,6.21,7.1,9.41,14.05,13.71,14.17,13.19,10.23,9.76,10.06,10.35,9.55,9.75,10.02,11.1,11.6,12.0,12.3,,
65,山西省,香蕉产量,,,,,,,,0.0,,,,,,,,,,,,
66,广东省,果园面积,,,,,,,,,,,1081.3,1084.81,1096.62,1100.24,1119.83,1119.8,1136.62,1130.59,960.52,
67,广东省,水果产量,704.15,643.52,781.64,808.28,836.94,908.96,946.46,1001.08,1057.15,1081.28,1160.83,1235.9,1314.28,1390.09,1485.4,1560.72,1648.53,1717.01,1538.73,
68,广东省,苹果产量,,,,,,,,0.0,,,,,,,,,,,,
69,广东省,苹果园面积,,,,,,,,,,,,,,,,,,,,
70,广东省,葡萄园面积,,,,,,,,,,,,,,,,,,,,
71,广东省,香蕉产量,205.13,235.3,228.74,271.77,301.8,320.92,330.23,335.32,351.18,348.14,357.88,371.27,384.89,403.16,420.29,426.32,451.67,481.65,395.24,
72,广西壮族自治区,果园面积,,,,,,,,,,,917.71,938.07,970.0,997.23,1039.47,1039.5,1165.51,1232.59,1174.42,
73,广西壮族自治区,水果产量,527.96,360.14,551.02,612.51,641.16,702.33,766.84,772.26,861.49,855.77,1010.74,1094.41,1222.98,1325.03,1433.42,1560.6,1720.02,1882.5,1900.4,
74,广西壮族自治区,苹果产量,,,,,,,,0.0,,,,,,,,,,,,
75,广西壮族自治区,苹果园面积,,,,,,,,,,,,,,,,,,,,
76,广西壮族自治区,葡萄园面积,2.73,5.19,7.77,8.58,8.62,8.91,9.99,11.52,11.09,11.64,12.87,17.16,20.66,24.5,27.0,29.7,33.0,34.9,,
77,广西壮族自治区,香蕉产量,96.56,111.16,112.96,107.34,103.57,107.83,117.39,124.3,140.46,97.01,155.63,186.49,205.75,230.28,247.7,259.23,295.57,319.93,371.57,
78,数据来源：国家统计局,果园面积,,,,,,,,,,,,,,,,,,,,
79,数据来源：国家统计局,水果产量,,,,,,,,,,,,,,,,,,,,
80,数据来源：国家统计局,苹果产量,,,,,,,,,,,,,,,,,,,,
